[MASTER] 15:31:28.778 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.NegationDecorator<T> : Type points to itself
[MASTER] 15:31:28.779 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 15:31:47.184 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:31:48.156 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:31:49.159 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:31:49.532 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:31:54.445 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:31:58.755 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:32:05.596 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:32:07.568 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:32:11.446 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 5), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:32:12.300 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
[MASTER] 15:32:19.139 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4CardinalityModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4CardinalityModel>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4CardinalityModel>) negationDecoratorArray0; SUT=org.sat4j.core.ConstrGroup
