[MASTER] 05:28:39.047 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 05:28:48.934 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:49.427 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.179 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.202 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.311 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.397 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.516 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.841 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.869 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:50.945 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
[MASTER] 05:28:56.307 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<MinOneDecorator>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<MinOneDecorator>[]) Array.newInstance(GroupClauseSelectorSolver.class, 7), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<MinOneDecorator>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.LearntHTClause
