[MASTER] 14:58:19.855 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.LexicoDecorator<T> : Type points to itself
[MASTER] 14:58:19.855 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 14:58:50.809 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:58:51.296 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 6), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:58:52.535 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:58:52.795 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 6), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:59:01.332 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 14:59:24.006 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 6), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:59:34.155 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:59:41.260 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:59:42.781 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:59:47.047 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:59:53.400 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 8), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 14:59:55.827 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 15:00:09.618 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<OptToSatAdapter>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(GroupClauseSelectorSolver.class, 6), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<OptToSatAdapter>) groupClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
[MASTER] 15:00:16.448 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 8), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.OriginalWLClause
