[MASTER] 17:49:40.822 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ClausalCardinalitiesDecorator<T> : Type points to itself
[MASTER] 17:49:40.822 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.FullClauseSelectorSolver<T> : Type points to itself
[MASTER] 17:49:40.822 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 17:49:40.822 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.LexicoDecorator<T> : Type points to itself
[MASTER] 17:49:40.822 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ManyCore<S> : Type points to itself
[MASTER] 17:49:40.822 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.NegationDecorator<T> : Type points to itself
[MASTER] 17:49:40.822 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 17:50:05.587 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:05.906 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:06.368 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:06.447 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:07.224 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:07.391 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:08.316 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:08.472 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:09.087 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:09.239 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4InclusionModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4InclusionModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 5), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4InclusionModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
[MASTER] 17:50:09.626 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<AbstractMinimalModel>[] negationDecoratorArray0 = (NegationDecorator<AbstractMinimalModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<AbstractMinimalModel>) negationDecoratorArray0; SUT=org.sat4j.opt.AbstractSelectorVariablesDecorator
