[MASTER] 01:03:11.648 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ClausalCardinalitiesDecorator<T> : Type points to itself
[MASTER] 01:03:11.649 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.FullClauseSelectorSolver<T> : Type points to itself
[MASTER] 01:03:11.649 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 01:03:11.649 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.LexicoDecorator<T> : Type points to itself
[MASTER] 01:03:11.649 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ManyCore<S> : Type points to itself
[MASTER] 01:03:11.649 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.NegationDecorator<T> : Type points to itself
[MASTER] 01:03:11.649 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 01:03:21.309 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:03:21.865 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:03:22.502 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:03:23.037 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:03:26.253 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:03:38.673 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:03:40.813 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:03:42.980 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.specs.SearchListener<S> : Type points to itself
[MASTER] 01:03:47.141 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:04:03.638 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:04:04.379 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIteratorToSATAdapter>[] negationDecoratorArray0 = (NegationDecorator<ModelIteratorToSATAdapter>[]) Array.newInstance(NegationDecorator.class, 4), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIteratorToSATAdapter>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:04:07.705 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
[MASTER] 01:04:09.635 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<GateTranslator>[] negationDecoratorArray0 = (NegationDecorator<GateTranslator>[]) Array.newInstance(NegationDecorator.class, 3), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<GateTranslator>) negationDecoratorArray0; SUT=org.sat4j.tools.ClausalCardinalitiesDecorator
