[MASTER] 03:35:37.042 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ClausalCardinalitiesDecorator<T> : Type points to itself
[MASTER] 03:35:37.042 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.FullClauseSelectorSolver<T> : Type points to itself
[MASTER] 03:35:37.042 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 03:35:37.042 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.LexicoDecorator<T> : Type points to itself
[MASTER] 03:35:37.043 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ManyCore<S> : Type points to itself
[MASTER] 03:35:37.043 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.NegationDecorator<T> : Type points to itself
[MASTER] 03:35:37.043 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 03:35:48.600 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:50.934 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:52.748 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:53.476 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:53.560 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:53.662 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:54.857 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:55.595 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:56.204 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:35:56.251 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
[MASTER] 03:36:09.352 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<AbstractMinimalModel>[] lexicoDecoratorArray0 = (LexicoDecorator<AbstractMinimalModel>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<AbstractMinimalModel>) lexicoDecoratorArray0; SUT=org.sat4j.tools.GateTranslator
