[MASTER] 04:07:33.779 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ClausalCardinalitiesDecorator<T> : Type points to itself
[MASTER] 04:07:33.779 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.FullClauseSelectorSolver<T> : Type points to itself
[MASTER] 04:07:33.779 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.GroupClauseSelectorSolver<T> : Type points to itself
[MASTER] 04:07:33.779 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.LexicoDecorator<T> : Type points to itself
[MASTER] 04:07:33.779 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.ManyCore<S> : Type points to itself
[MASTER] 04:07:33.780 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.NegationDecorator<T> : Type points to itself
[MASTER] 04:07:33.780 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 04:07:59.902 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:00.921 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:01.372 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:01.676 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:25.218 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:32.437 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:36.765 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:37.878 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:39.420 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:45.575 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
[MASTER] 04:08:47.042 [logback-2] ERROR AbstractStatement - Error assigning value of type GroupClauseSelectorSolver[] defined at statement GroupClauseSelectorSolver<Minimal4CardinalityModel>[] groupClauseSelectorSolverArray0 = (GroupClauseSelectorSolver<Minimal4CardinalityModel>[]) Array.newInstance(GroupClauseSelectorSolver.class, 1), assignment statement: groupClauseSelectorSolverArray0[0] = (GroupClauseSelectorSolver<Minimal4CardinalityModel>) groupClauseSelectorSolverArray0; SUT=org.sat4j.tools.OptToSatAdapter
